Time,Ticker,Order,T,Shares,Price,MPID,X
34244530,IBM,6915900,D,0,0,,Q
34244601,IBM,7158505,B,200,1804900,,Q
34244601,IBM,7158507,B,200,1804500,,Q
34245092,IBM,7136698,E,83,0,,Q
34245092,IBM,7136698,F,0,0,,Q
34245092,IBM,7168105,S,100,1805300,,Q
34245092,IBM,7168109,S,200,1806100,,Q
34245092,IBM,7168105,F,0,0,,Q
34245093,IBM,7168245,B,100,1805300,,Q
34245094,IBM,7168329,B,17,1805300,,Q
34245095,IBM,7168329,D,0,0,,Q
34245110,IBM,7168245,F,0,0,,Q
34245212,IBM,7170307,B,300,1802500,,Q
34245215,IBM,7170366,S,300,1807000,,Q
34245242,IBM,7168109,D,0,0,,Q
34246802,IBM,7158505,D,0,0,,Q
34246803,IBM,7194728,B,100,1804600,,Q
34246803,IBM,7194729,B,200,1804300,,Q
34247202,IBM,7194729,D,0,0,,Q
34247202,IBM,7158507,D,0,0,,Q
34247204,IBM,7201464,B,200,1805100,,Q
34247204,IBM,7201466,B,200,1804700,,Q
34247206,IBM,7194728,D,0,0,,Q
34247206,IBM,7201498,B,100,1805100,,Q
34248202,IBM,7201464,D,0,0,,Q
34248948,IBM,0,T,100,1805200,,Q
34248948,IBM,7201498,F,0,0,,Q
34248948,IBM,7224653,S,100,1806100,,Q
34248949,IBM,7224708,B,200,1804300,,Q
34249037,IBM,7224653,D,0,0,,Q
34249202,IBM,7224708,D,0,0,,Q
34250602,IBM,7249577,B,200,1804300,,Q
34250700,IBM,7201466,E,83,0,,Q
34250700,IBM,7201466,E,83,0,,Q
34251002,IBM,7249577,D,0,0,,Q
34251601,IBM,7261670,B,200,1804300,,Q
34251802,IBM,7201466,D,0,0,,Q
34251805,IBM,7264390,B,200,1803900,,Q
34253372,IBM,1140308,D,0,0,,Q
34253379,IBM,195642,D,0,0,,Q
34254903,IBM,7304943,S,2,1839400,,Q
34255202,IBM,7264390,D,0,0,,Q
34256423,IBM,7325426,B,200,1803800,,Q
34256766,IBM,7329173,B,100,1805400,,Q
34256767,IBM,7329210,B,100,1805400,,Q
34257002,IBM,7261670,D,0,0,,Q
34257002,IBM,7325426,D,0,0,,Q
34257739,IBM,7341118,B,200,1805300,,Q
